Day of Data Escala de Tempo 1 CE Simp 4,Data Escala de Tempo 1 CE Simp 4,Período Exibido CE Simp 4,Subsistema,Selecione Tipo de CE Simp 4
"April 11, 2020",4/11/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,707.464638
"April 12, 2020",4/12/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,675.009655
"April 13, 2020",4/13/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,780.8907
"April 14, 2020",4/14/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,794.155251
"April 15, 2020",4/15/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,807.199528
"April 16, 2020",4/16/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,784.026573
"April 17, 2020",4/17/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,776.610774
"April 18, 2020",4/18/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,717.185059
"April 19, 2020",4/19/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,666.457113
"April 20, 2020",4/20/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,739.560581
"April 21, 2020",4/21/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,727.56004
"April 22, 2020",4/22/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,787.815843
"April 23, 2020",4/23/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,791.386783
"April 24, 2020",4/24/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,800.443033
"April 25, 2020",4/25/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,743.824917
"April 26, 2020",4/26/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,690.800996
"April 27, 2020",4/27/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,786.055641
"April 28, 2020",4/28/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,801.223398
"April 29, 2020",4/29/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,810.811881
"April 30, 2020",4/30/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,810.349644
"May 1, 2020",5/1/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,733.700863
"May 2, 2020",5/2/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,725.486749
"May 3, 2020",5/3/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,671.317929
"May 4, 2020",5/4/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,769.396833
"May 5, 2020",5/5/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,802.276532
"May 6, 2020",5/6/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,815.726541
"May 7, 2020",5/7/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,781.429885
"May 8, 2020",5/8/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,761.245438
"May 9, 2020",5/9/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,710.497634
"May 10, 2020",5/10/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,647.185351
"May 11, 2020",5/11/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,762.873214
"May 12, 2020",5/12/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,792.182499
"May 13, 2020",5/13/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,808.093026
"May 14, 2020",5/14/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,812.016655
"May 15, 2020",5/15/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,792.366386
"May 16, 2020",5/16/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,720.525413
"May 17, 2020",5/17/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,657.527317
"May 18, 2020",5/18/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,762.205989
"May 19, 2020",5/19/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,786.456819
"May 20, 2020",5/20/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,797.621508
"May 21, 2020",5/21/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,802.310009
"May 22, 2020",5/22/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,809.182785
"May 23, 2020",5/23/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,771.615723
"May 24, 2020",5/24/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,691.612846
"May 25, 2020",5/25/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,727.196697
"May 26, 2020",5/26/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,747.053664
"May 27, 2020",5/27/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,744.91854
"May 28, 2020",5/28/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,752.216241
